"mae","rmse"
2.42186461618122,2.88591233530427
32,16,0.2,0.001,128,19880.5470287249,33922.9035822518,1150763387.45075
64,16,0.2,0.001,128,20418.7597530507,34693.7493869265,1203656246.52286
128,16,0.2,0.001,128,20202.5284643422,34105.1449619511,1163160912.8757
32,32,0.2,0.001,128,20133.7349854709,33990.565477474,1155358541.47844
64,32,0.2,0.001,128,20436.7862958163,34916.073905796,1219132216.99501
128,32,0.2,0.001,128,20053.4142635271,34337.5084632074,1179064487.46084
32,64,0.2,0.001,128,20557.8393838625,34761.2161242709,1208342146.43827
64,64,0.2,0.001,128,20285.1507652864,34438.2233056576,1185991224.45034
128,64,0.2,0.001,128,20506.2242677764,34837.2980147725,1213637332.97007
32,16,0.3,0.001,128,20234.8328925517,34523.0198914565,1191838902.4259
64,16,0.3,0.001,128,20041.9675729937,33854.6512494075,1146137411.21901
128,16,0.3,0.001,128,19770.045902538,33924.4638619838,1150869248.32304
32,32,0.3,0.001,128,20780.1816041545,35093.4056904115,1231547122.95181
64,32,0.3,0.001,128,20559.0089825115,34856.5510335712,1214979149.95595
128,32,0.3,0.001,128,19982.5649249486,33685.5173792072,1134714081.10487
32,64,0.3,0.001,128,22231.5896485762,36707.0841657135,1347410027.94877
64,64,0.3,0.001,128,19902.8574782665,34104.2879619532,1163102457.39182
128,64,0.3,0.001,128,19820.3335117782,32795.897728406,1075570907.81207
32,16,0.4,0.001,128,20076.6474215867,34352.3771770321,1180085817.71307
64,16,0.4,0.001,128,20165.2506435985,34439.081700531,1186050348.37585
128,16,0.4,0.001,128,20128.6400856427,34333.8562226146,1178813683.11517
32,32,0.4,0.001,128,20004.353056924,34060.4795142101,1160116264.73793
64,32,0.4,0.001,128,20348.1055633226,34672.2166939195,1202162610.47011
128,32,0.4,0.001,128,20174.8166852403,34361.3573704018,1180702880.33647
32,64,0.4,0.001,128,19884.9404204953,33953.0182119312,1152807445.69973
64,64,0.4,0.001,128,20191.3557162118,33946.4764404747,1152363262.72371
128,64,0.4,0.001,128,20729.0610722644,35085.5751382355,1230997582.78077
32,16,0.2,5e-04,128,20337.0958592285,34109.3738769613,1163449386.27833
64,16,0.2,5e-04,128,20018.4260579319,34275.1401993692,1174785235.68641
128,16,0.2,5e-04,128,20247.6409706438,34573.2554688265,1195309993.71274
32,32,0.2,5e-04,128,20053.6544883956,34654.4850781401,1200933336.03103
64,32,0.2,5e-04,128,20220.0240999362,34654.6600936539,1200945466.20669
128,32,0.2,5e-04,128,20092.9967954501,34325.1564910709,1178216368.13651
32,64,0.2,5e-04,128,20268.8706334193,34576.3061436713,1195520946.54088
64,64,0.2,5e-04,128,19859.2196261754,33797.0171223188,1142238366.36631
